May 2014	137	206
June 2014	366	167.5
July 2014	244	164.5
August 2014	193	166
September 2014	139	192
October 2014	163	178
November 2014	178	146.0
December 2014	182	165.0
January 2015	202	162.5
February 2015	201	160
March 2015	149	167
April 2015	142	161.0
May 2015	222	180.0
June 2015	322	145.0
July 2015	253	198
August 2015	251	190
September 2015	351	166
October 2015	332	178.5
November 2015	374	150.0
December 2015	312	155.5
January 2016	420	169.5
February 2016	352	158.5
March 2016	432	177.0
April 2016	437	162
May 2016	346	168.0
June 2016	464	178.0
July 2016	467	157
August 2016	655	170
September 2016	403	151
October 2016	371	174
November 2016	483	166
December 2016	404	183.5
January 2017	575	156
February 2017	537	149
March 2017	602	177.5
April 2017	622	163.0
May 2017	610	164.0
June 2017	578	172.0
July 2017	632	175.5
August 2017	707	159
September 2017	428	165.5
October 2017	553	169
November 2017	935	154
December 2017	621	167
January 2018	882	144.0
February 2018	1054	152.0
March 2018	1095	140
April 2018	1060	131.0
May 2018	1290	148.0
June 2018	1107	149
July 2018	1256	155.5
August 2018	1106	168.0
September 2018	1178	147.0
October 2018	1263	152
November 2018	815	161
December 2018	1078	153.0
January 2019	933	163
February 2019	1146	148.0
March 2019	1411	148
April 2019	1501	148
May 2019	1117	154
June 2019	1305	153
July 2019	1449	154
August 2019	1293	162
September 2019	1074	157.0
October 2019	973	170
November 2019	1102	163.0
December 2019	1396	155.5
January 2020	1363	159
February 2020	1109	158
March 2020	1114	148.5
April 2020	1187	163
May 2020	1250	148.0
June 2020	1192	155.0
July 2020	1570	157.0
August 2020	999	150
September 2020	1116	152.0
October 2020	944	171.0
November 2020	899	170
December 2020	902	161.5
January 2021	1161	162
February 2021	939	160
March 2021	1055	155
April 2021	1078	159.0
May 2021	1028	153.0
June 2021	1019	162
July 2021	1051	172
August 2021	958	158.0
September 2021	77	144
